nama_pemilik_perusahaan,alamat_pemilik_perusahaan,telepon,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,alamat_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan
PT. ALPHA KUMALA WARDHANA,"Jl. Mayjend. Sungkono No. 147, Dukuh Pakis, Dukuh Pakis, Surabaya","(031) 5670777, (021) 5670555",,,Pertamina,SPBU,34-11407,,JB/322/2011/II,Jakarta Barat,"Jl. Kemanggisan Utama Raya No. 52A, Kemanggisan, Palmerah, Jakarta Barat 11480",Kemanggisan,Palmerah,155/2011,28/12/2011,,BR/Selama Masih Beroperasi
HARI BUDIANTO,"Jl. Joglo Raya No. 2A RT007/RW08, Jakarta Barat",(021) 5844077,,,Pertamina,SPBU,34-11501,,JB/055/2007/II,Jakarta Barat,"Jl. Joglo Raya No.2A, Joglo, Kembangan, Jakarta Barat 11640",Joglo,Kembangan,Dec-08,7/01/2008,7/01/2009,Tidak Beroperasi
PT. SUGISENA ARTASENTANA,"Jl. Arteri Ring Road Green Garden, Daan Mogot Km. 3, Jakarta Barat","(021) 5820680, (021) 5820681",,,Pertamina,SPBU,34-11502,,,Jakarta Barat,"Jl. Arteri Ring Road Green Garden, Jakarta Barat ",,,,,,Belum Urus Izin (Berkas Proses)
PT. REPINDO JAGAD RAYA,"Jl. Kedoya Raya No. 15A, Kebon Jeruk, Jakarta Barat",(021) 5809436,,,Pertamina,SPBU,34-11503,,JB/138/2008/II/P,Jakarta Barat,"Jl. Kedoya Raya No. 15A, Kedoya, Kebon Jeruk, Jakarta Barat 11520",Kedoya,Kebon Jeruk,337/2008,30/05/2008,30/05/2009,Expired
PT. MONARA DHARMA (Ex. Moona Natalie Rachmawati),"Jl. Kedoya Raya No. 14 RT 009/004, Kedoya Selatan, Kebon Jeruk, Jakarta Barat 11520",(021) 5813050,,,Pertamina,SPBU,34-11504,,JB/083/2008/II/P,Jakarta Barat,"Jl. Kedoya Raya No. 14, Kedoya Selatan, Kebon Jeruk, Jakarta Barat 11520",Kedoya Selatan,Kebon Jeruk,85/2009,17/07/2009,17/07/2014,Perpanjangan (3 Bulan Lagi Expired)
PT. PUTRA SURADI (Ex. Ratno Dwi Kurnianto),"Jl. Kebon Jeruk Raya No.1, Kebon Jeruk, Kebon Jeruk, Jakarta Barat 11530",(021) 5305039,03.042.397.4-035.000,Ratno Dwi Kurnianto,Pertamina,SPBU,34-11505,1982,JB/155/2008/II/P,Jakarta Barat,"Jl. Kebon Jeruk Raya No. 1, Kebon Jeruk, Kebon Jeruk, Jakarta Barat 11530",Kebon Jeruk,Kebon Jeruk,27/2014,20/03/2014,,PJ/Selama Masih Beroperasi
PT. CAHAYA WANODYA SEJATI,"Jl. Kedoya Raya No. 23, Kedoya Selatan, Kebon Jeruk, Jakarta Barat 11520","(021) 5804393, (021) 4202405",,Lina Susanti,Pertamina,SPBU,34-11506,,JB/060/2007/II,Jakarta Barat,"Jl. Kedoya Raya No. 23, Kedoya Selatan, Kebon Jeruk, Jakarta Barat 11520",Kedoya Selatan,Kebon Jeruk,31/2012,2/05/2012,,PJ/Selama Masih Beroperasi
PT. YOSO ARTOPOTRO (Ex. H. Darmo Supono),"Jl. Japagor No. 20 RT 009/02, Lebak Bulus, Cilandak, Jakarta Selatan 12440","(021) 7695720, (021) 7655183",,,Pertamina,SPBU,34-11507,,JB/101/2008/II/P,Jakarta Barat,"Jl. Panjang Arteri Kelapa Dua No. 7 RT001/RW002, Kelapa Dua, Kebon Jeruk, Jakarta Barat 11550",Kelapa Dua,Kebon Jeruk,96/2010,20/08/2010,20/08/2015,Perpanjangan
PT. PANCA UNGGUL CEMERLANG,"Jl. Brigjen Katamso No. 25, Slipi, Palmerah, Jakarta Barat 11410","(021) 5349884, (021) 5321601",,,Pertamina,SPBU,34-11508,2008,JB/077/2008/II/P,Jakarta Barat,"Jl. Kelapa Dua Raya No. 15, Kebon Jeruk, Kebon Jeruk, Jakarta Barat 11530",Kebon Jeruk,Kebon Jeruk,92/2009,23/07/2009,23/07/2014,Perpanjangan (3 Bulan Lagi Expired)
PT. BUMISATU INDAH,"Jl. Anggrek Garuda Blok I No. 2, Slipi, Palmerah, Jakarta Barat 11480","(021) 5324710, (021) 5349588",,,Pertamina,SPBU,34-11509,,JB/201/2008/II/P,Jakarta Barat,"Jl. Arteri Kelapa Dua, Sukabumi Utara, Kebon Jeruk, Jakarta Barat 11540",Sukabumi Utara,Kebon Jeruk,28/2011,7/02/2011,7/02/2016,Perpanjangan
PT. TIRTA MEGA YANTI ,"Jl. Arteri Panjang No. 38, Kedoya Selatan, Kebon Jeruk, Jakarta Barat 11510",(021) 58301154,02.424.155.6-035.000,Then Yulianti,Pertamina,SPBU,34-11510,,JB/026/2007/II,Jakarta Barat,"Jl. Arteri Panjang No. 38, Kedoya Selatan, Kebon Jeruk, Jakarta Barat 11510",Kedoya Selatan,Kebon Jeruk,66/2014,3/06/2014,,PJ/Selama Masih Beroperasi
PT. GLOBALINDO SUKSES FORTUNA,"Jl. Taman Daan Mogot IV/2, Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat 11470",(021) 53653277,,,Pertamina,SPBU&G,34-11511,,JB/255/2009/II,Jakarta Barat,"Jl. Kemanggisan Raya RT003/RW05, Kebon Jeruk, Kebon Jeruk, Jakarta Barat 11530",Kebon Jeruk,Kebon Jeruk,97/2014,8/08/2014,,PJ/Selama Masih Beroperasi
PT. ERIKS DHARMA SENTOSA,"Jl. Gunung Sahari Raya No. 13 Blok A2 RT 002/01, Ancol, Pademangan, Jakarta Utara 14430","(021) 6459656, (021) 6459610",,,Pertamina,SPBU,34-11512,,JB/300/2010/II,Jakarta Barat,"Jl. Panjang  No. 45C RT001/RW011, Kebon Jeruk, Kebon Jeruk, Jakarta Barat 11530",Kebon Jeruk,Kebon Jeruk,Mar-11,5/01/2011,5/01/2016,Baru
H. M. PRANANDA P SURA MKD,"Jl. Kebagusan IV No. 45 RT 010/04, Kebagusan, Pasar Minggu, Jakarta Selatan 12520","(021) 8303744, (021) 5846664",,,Pertamina,SPBU,34-11601,1990,JB/164/2008/II/P,Jakarta Barat,"Jl. Meruya Ilir RT004/RW08, Srengseng, Kembangan, Jakarta Barat 11630",Srengseng,Kembangan,154/2009,24/11/2009,24/11/2010,Expired
PT. RIDHO GUSTI LESTARI,"Jl. Puri Kembangan Raya No. 81, Kembangan Selatan, Jakarta Barat",(021) 5906303,,,Pertamina,SPBU,34-11602,,JB/204/2008/II/P,Jakarta Barat,"Jl. Puri Kembangan Raya No. 81, Kembangan Selatan, Kembangan, Jakarta Barat 11610",Kembangan Selatan,Kembangan,359/2008,4/06/2008,4/06/2009,Expired
H. ACHMAD IDRIS,"Komp. Deplu Kav. 132 RT007/RW07, Larangan, Tangerang",(021) 5494907,,,Pertamina,SPBU,34-11603,,JB/181/2008/II/P,Jakarta Barat,"Jl. Raya Pos Pengumben No. 34, Kelapa Dua, Kebon Jeruk, Jakarta Barat 11550",Kelapa Dua,Kebon Jeruk,121/2009,27/08/2009,27/08/2010,Tidak Beroperasi
PT. MULTI NIAGA PERKASA (Ex. PT. Perkasa Agung Wibawa),"Jl. Swadarma Raya No. 16, Srengseng, Kembangan, Jakarta Barat 11630",(021) 7269884,02.449.945.1-019.000,Julie Sutrisno,Pertamina,SPBU,34-11604,,JB/351/2013/II,Jakarta Barat,"Jl. Swadarma Raya No. 16, Srengseng, Kembangan, Jakarta Barat 11630",Srengseng,Kembangan,49/2014,2/05/2014,,PTH/Selama Msh Beroperasi
CV. MINYAK PERMAI,"Jl. Meruya Ilir Raya Blok H-4 No. 1 RT013/RW03, Meruya Utara, Kembangan, Jakarta Barat 11620",(021) 5852626,,Rosna Ismail Sunny,Pertamina,SPBU,34-11605,,JB/114/2008/II/P,Jakarta Barat,"Jl. Meruya Ilir Raya Blok H-4 No. 1 RT013/RW03, Meruya Utara, Kembangan, Jakarta Barat 11620",Meruya Utara,Kembangan,17/2012,7/03/2012,,PJ/Selama Masih Beroperasi
PT. BAH GADUH,,,,,Pertamina,SPBU,34-11606,,,Jakarta Barat,"Jl. Meruya Ilir Raya No. 26, Kembangan, Jakarta Barat ",Kembangan,Kembangan,,,,Belum Urus Izin
CV. MNS (Ex. Maya Solichin),"Kav. DKI Blok 7A No. 8 RT004/RW01, Meruya Utara, Kembangan, Jakarta Barat 11620",(021) 5873526,,,Pertamina,SPBU,34-11607,,JB/099/2008/II/P,Jakarta Barat,"Kav. DKI Blok 7A No. 8 RT004/RW01, Meruya Utara, Kembangan, Jakarta Barat 11620",Meruya Utara,Kembangan,81/2010,26/07/2010,26/07/2015,Perpanjangan
PT. NUSA DUA NATURA,"Jl. Pos Pengumben, Srengseng, Kembangan, Jakarta Barat 11630","(021) 58903267, (021) 58903265",,,Pertamina,SPBU,34-11608,,JB/298/2010/II,Jakarta Barat,"Jl. Pos Pengumben, Srengseng, Kembangan, Jakarta Barat 11630",Srengseng,Kembangan,152/2010,30/12/2010,30/12/2015,Perpanjangan
PT. ARMAHEN PERMATA,"Jl. Meruya Selatan No. 35, Joglo, Kembangan, Jakarta Barat","(021) 5867641, (021) 5861864",,,Pertamina,SPBU,34-11609,,JB/012/2006/II,Jakarta Barat,"Jl. Joglo Raya No. 77, Joglo, Kembangan, Jakarta Barat 11640",Joglo,Kembangan,13/2006,13/10/2006,13/10/2011,Expired (Berkas Proses)
PT. INANTA MANDIRI,"Jl. Outer Ring Road Barat No. 238, Jakarta Barat","(021) 58357724, (021) 58357726",,,Pertamina,SPBU,34-11610,,JB/043/2007/II,Jakarta Barat,"Jl. Outer Ring Road Barat No. 238 RT004/RW01, Kembangan Utara, Kembangan, Jakarta Barat 11610",Kembangan Utara,Kembangan,427/2007,7/08/2007,7/08/2012,Expired (Berkas Proses)
PT. TOMANG OIL JAYA,"Jl. Tomang Raya No. 59, Tomang, Grogol Petamburan, Jakarta Barat 11440",(021) 5688011,,,Pertamina,SPBU,34-11611,,JB/056/2007/II,Jakarta Barat,"Jl. Kembangan Raya No. 88 RT003/RW01, Kembangan Selatan, Kembangan, Jakarta Barat 11620",Kembangan Selatan,Kembangan,85/2008,14/02/2008,14/02/2013,Expired
PT. JENGGOLO MAKMUR,"Jl. Embong Kenongo No. 34, Embong Kaliasin, Genteng, Surabaya","(031) 5681647, (021) 5632524",,,Pertamina,SPBU,34-11612,2010,JB/297/2010/II,Jakarta Barat,"Jl. Kembang Kerep No. 56, Meruya Utara, Kembangan, Jakarta Barat 11620",Meruya Utara,Kembangan,143/2010,6/12/2010,6/12/2015,Baru
PT. ELNUSA PETROFIN,"Graha Elnusa Lt. 12, Jl. TB Simatupang 1B, Cilandak, Jakarta Selatan",(021) 5671962,,,Pertamina,SPBU,34-11701,,JB/171/2008/II/P,Jakarta Barat,"Jl. Daan Mogot No. 2, Jelambar, Grogol Petamburan, Jakarta Barat 11460",Jelambar,Grogol Petamburan,498/2008,25/07/2008,25/07/2009,Expired
PT. AMASAR INTI NUSANTARA (Ex. Toni Liando),"Jl. Danau Tondano No. A1, Bendungan Hilir, Tanah Abang, Jakarta Pusat 10210","(021) 57852683, (021) 57852684",,,Pertamina,SPBU,34-11702,,JB/170/2008/II/P,Jakarta Barat,"Jl. Duri Kosambi RT013/RW04, Duri Kosambi, Cengkareng, Jakarta Barat 11750",Duri Kosambi,Cengkareng,122/2010,8/10/2010,8/10/2015,Perpanjangan
NY. HJ. MEGAWATI TAUFIQ,"Jl. Kebagusan IV No. 45 RT010/RW04, Kebagusan, Pasar Minggu, Jakarta Selatan 12520","(021) 8303744, (021) 5408040",,,Pertamina,SPBU,34-11703,,JB/162/2008/II/P,Jakarta Barat,"Jl. Kamal Raya RT008/RW02, Cengkareng Timur, Cengkareng, Jakarta Barat 11730",Cengkareng Timur,Cengkareng,114/2009,18/08/2009,18/08/2010,Expired
PT. AIRMAS SEPUTRA (Ex. Ny. HS Zahara Romas),"Jl. Daan Mogot No. 19A RT006/RW05, Duri Kepa, Kebon Jeruk, Jakarta Barat 11510",(021) 5660835,,,Pertamina,SPBU,34-11704,,JB/111/2008/II/P,Jakarta Barat,"Jl. Daan Mogot Raya No. 19A RT006/RW05, Duri Kepa, Kebon Jeruk, Jakarta Barat 11510",Duri Kepa,Kebon Jeruk,75/2011,10/05/2011,10/05/2016,Perpanjangan
PT. TISAHADA LESTARI JAYA (Ex. Melly Damanik Budiman),"Jl. I Gusti Ngurah Rai No. 4 RT005/RW06, Cipinang Muara, Jatinegara, Jakarta Timur 13420",(021) 8504349,,,Pertamina,SPBU,34-11705,,JB/147/2008/II/P,Jakarta Barat,"Jl. Lingkar Luar Barat Pondok Randu, Duri Kosambi, Cengkareng, Jakarta Barat 11750",Duri Kosambi,Cengkareng,63/2010,5/07/2010,5/07/2015,Perpanjangan
PT. TIGARAS UTAMA,"Jl. Pejaten Barat Raya No. 18 RT010/RW010, Ragunan, Pasar Minggu, Jakarta Selatan 12550",(021) 7805648,,,Pertamina,SPBU,34-11706,,JB/323/2012/II,Jakarta Barat,"Jl. Daan Mogot Km. 14, 5, Cengkareng Barat, Cengkareng, Jakarta Barat 11730",Cengkareng Barat,Cengkareng,Jan-12,16/01/2012,,BR/Selama Masih Beroperasi
H. M. RIZKI PRATAMA,"Jl. Kebagusan IV No. 45 RT010/RW04, Kebagusan, Pasar Minggu, Jakarta Selatan 12520","(021) 8303744, (021) 5552164",,,Pertamina,SPBU,34-11707,1997,JB/161/2008/II/P,Jakarta Barat,"Jl. Outer Ring Road RT008/RW08, Cengkareng Barat, Cengkareng, Jakarta Barat 11730",Cengkareng Barat,Cengkareng,153/2009,24/11/2009,24/11/2010,Expired
PT. NABARA MANDIRI,"Jl. Raya Duri Kosambi No. 71 RT005/RW01, Duri Kosambi, Cengkareng, Jakarta Barat 11750",(021) 5443397,,,Pertamina,SPBU,34-11708,,JB/102/2008/II/P,Jakarta Barat,"Jl. Raya Duri Kosambi No. 59 RT008/RW08, Duri Kosambi, Cengkareng, Jakarta Barat 11750",Duri Kosambi,Cengkareng,48/2011,4/04/2011,4/04/2016,Perpanjangan
PT. ISTANA DADAP,"Jl. Daan Mogot Km. 10 No. 151 Pesing Poglar, Kedaung Kali Angke, Cengkareng, Jakarta Barat 11710","(021) 5448965, (021) 6198342",,,Pertamina,SPBU,34-11709,,JB/011/2006/II,Jakarta Barat,"Jl. Daan Mogot Km. 10 No. 151 Pesing Poglar RT006/RW05, Kedaung Kali Angke, Cengkareng, Jakarta Barat 11710",Kedaung Kali Angke,Cengkareng,112/2010,23/09/2010,23/09/2015,Perpanjangan
PT. MAGENDRA SHATRA PRATAMA,"Jl. KH. Abdullah Syafei (Jl. Lapangan Roos), Bukit Duri, Tebet, Jakarta Selatan 12480",,,,Pertamina,SPBU,34-11710,,JB/044/2007/II,Jakarta Barat,"Jl. Ring Road Cengkareng, Cengkareng Timur, Cengkareng, Jakarta Barat 11730",Cengkareng Timur,Cengkareng,437/2007,13/08/2007,13/08/2012,Expired
PT. CENDRAWASIH BUMI PERTIWI,"Jl. Cendrawasih Raya No. 99, Cengkareng Barat,  Cengkareng, Jakarta Barat",(021) 54365621,,,Pertamina,SPBU,34-11711,,,Jakarta Barat,"Jl. Cendrawasih Raya No. 99, Cengkareng Barat, Cengkareng, Jakarta Barat ",Cengkareng Barat,Cengkareng,580/2007,15/11/2007,15/11/2012,Expired (Berkas Proses)
PT. SURYAJAYA LIGA MANDIRI,"Jl. Tanjung Duren Barat III No. 50 RT009/RW05, Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat 11470","(021) 56968454, (021) 56941947",,Ali Djaja,Pertamina,SPBU,34-11712,,JB/094/2008/II,Jakarta Barat,"Jl. Daan Mogot Km. 12 No. 4 - 5, Cengkareng Timur, Cengkareng, Jakarta Barat 11730",Cengkareng Timur,Cengkareng,101/2013,26/11/2013,,PJ/Selama Masih Beroperasi
PT. ISTANA DADAP,"Jl. Daan Mogot Km. 10 No. 151 Pesing Poglar, Kedaung Kali Angke, Cengkareng, Jakarta Barat 11710","(021) 5448965, (021) 6198342",,,Pertamina,SPBU&G,34-11713,,JB/227/2008/II,Jakarta Barat,"Jl. Daan Mogot Km. 10 No. 151 Pesing Poglar RT006/RW05, Kedaung Kali Angke, Cengkareng, Jakarta Barat 11710",Kedaung Kali Angke,Cengkareng,115/2010,23/09/2010,23/09/2015,Perpanjangan
PT. ANMER JAYA MANDIRI,"Jl. Prof. Dr. Latumenten Raya No.20, Jelambar, Grogol Petamburan, Jakarta Barat 11460",(021) 56969343,,,Pertamina,SPBU,34-11714,,JB/275/2010/II,Jakarta Barat,"Jl. Lingkar Luar Barat RT014/RW04, Rawa Buaya, Cengkareng, Jakarta Barat 11740",Rawa Buaya,Cengkareng,32/2010,18/03/2010,18/03/2015,Baru
PT. TRITUNGGAL PANGESTU (Ex. Eddy Pangestu),"Jl. Peta Barat No. 3 RT003/RW007, Pegadungan, Kalideres, Jakarta Barat 11830","(021) 5401467, (021) 5415429",,,Pertamina,SPBU&G,34-11801,,JB/130/2008/II/P,Jakarta Barat,"Jl. Peta Barat No. 3 RT003/RW07, Pegadungan, KalidereS.  Jakarta Barat 11830",Pegadungan,Pegadungan,120/2011,7/10/2011,,PJ/Selama Masih Beroperasi
PT. NIMUN BERSAUDARA (Ex. Drs. H. Achmad Nimun),"Jl. Kamal Raya No. 20, Tegal Alur, Kalideres, Jakarta Barat 11620",(021) 55955257,,Achmad Fadhilah,Pertamina,SPBU,34-11802,,JB/135/2008/II/P,Jakarta Barat,"Jl. Kamal Raya No. 20, Tegal Alur, Kalideres, Jakarta Barat 11820",Tegal Alur,Kalideres,Jun-12,7/02/2012,,PJ/Selama Masih Beroperasi
PT. SARANA TRIDIPTA JAYA (Ex. L. Hermawan Suhartono),"Jl. Daan Mogot Km. 18, Kalideres, Kalideres, Jakarta Barat 11840","(021) 54393651, (021) 54372725",,,Pertamina,SPBU,34-11803,,JB/048/2010/II,Jakarta Barat,"Jl. Daan Mogot Km. 18, Kalideres, Kalideres, Jakarta Barat 11840",Kalideres,Kalideres,62/2010,5/07/2010,5/07/2015,Perpanjangan
UD. NANA HERYANA,"Jl. Brigjen Katamso, Slipi",,,,Pertamina,SPBU,34-11804,,,Jakarta Barat,"Jl. Peta Barat No. 108, Kalideres, Jakarta Barat ",Kalideres,Kalideres,,,,Belum Urus Izin
PT. PANCA UNGGUL CEMERLANG,"Jl. Brigjend Katamso No. 88 RT004/RW01, Slipi, Palmerah, Jakarta Barat 11410","(021) 5349884, (021) 5349939",,William Widyanata,Pertamina,SPBU,34-11806,,JB/241/2008/II,Jakarta Barat,"Jl. Satu Maret RT009/RW04, Pegadungan, Kalideres, Jakarta Barat 11830",Pegadungan,Kalideres,98/2013,19/11/2013,,PJ/Selama Masih Beroperasi
PT. DOBEL WE JAYA,"Jl. Pejaten Barat Raya No. 40, Ragunan, Pasar Minggu, Jakarta Selatan 12550",(021) 7654734,,,Pertamina,SPBU,34-12101,1990,JS/320/2011/II,Jakarta Selatan,"Jl. Pangeran Antasari No. 75, Cilandak Barat, Cilandak, Jakarta Selatan 12430",Cilandak Barat,Cilandak,153/2011,27/12/2011,,PTH/Slm Ops ( Skr Sdh Di Bongkar)
NY. SURYANTI,"Jl. Sekolah Duta II No. 45, Jakarta Selatan",(021) 7654085,,,Pertamina,SPBU,34-12102,,JS/144/2008/II/P,,,,,328/2008,21/05/2008,21/05/2009,Tidak Beroperasi
PT. ANDALAN MIGAS NUSANTARA (Ex. Ir. Sidharta Martorejo),"Jl. Lingkar Selatan (TB. Simatupang) No. 20 RT002/RW01, Cilandak Timur, Pasar Minggu, Jakarta Selatan 12560",(021) 7800523,,,Pertamina,SPBU,34-12103,,JS/182/2008/II,Jakarta Selatan,"Jl. Lingkar Selatan (TB,  Simatupang) No. 20 RT002/RW01, Cilandak Timur, Pasar Minggu, Jakarta Selatan 12560",Cilandak Timur,Pasar Minggu,63/2011,26/04/2011,26/04/2016,Perpanjangan
NY. SMYRNA DAMANIK,,,,,Pertamina,SPBU,34-12104,,,Jakarta Selatan,"Jl. TB. Simatupang, Tanjung Barat, Jakarta Selatan ",Tanjung Barat,Tanjung Barat,,,,Tidak Beroperasi
PT. ELHAKIM BERSAUDARA (Ex. Elviera Darmayanti),"Jl. Kemang Raya No. 39, Bangka, Mampang Prapatan, Jakarta Selatan 12730",(021) 71792664,,,Pertamina,SPBU,34-12105,,JS/159/2008/II/P,Jakarta Selatan,"Jl. Kemang Raya No. 39, Bangka, Mampang Prapatan, Jakarta Selatan 12730",Bangka,Mampang Prapatan,138/2011,17/11/2011,,PJ/Selama Masih Beroperasi
YAYASAN BHAKTI PUTRA BANGSA,"Jl. Teuku Cik Ditiro I No. 4, Gondangdia, Menteng, Jakarta Pusat 10350","(021) 7501882, (021) 3161964",,,Pertamina,SPBU,34-12106,,JS/266/2009/II/P,Jakarta Selatan,"Jl. Raya Metro Pondok Indah, Pondok Pinang, Kebayoran Lama, Jakarta Selatan 12310",Pondok Pinang,Kebayoran Lama,158/2009,30/11/2009,30/11/2010,Tidak Beroperasi
PT. SANTINI MEGAH,"Jl. Pangeran Antasari No. 100, Cipete Utara, Kebayoran Baru, Jakarta Selatan 12150","(021) 7228789, (021) 7228788",,,Pertamina,SPBU,34-12107,,JS/158/2008/II/P,Jakarta Selatan,"Jl. Pangeran Antasari No. 100, Cipete Utara, Kebayoran Baru, Jakarta Selatan 12150",Cipete Utara,Kebayoran Baru,138/2010,18/11/2010,18/11/2015,PTH/Slm Ops ( Skr Sdh Di Bongkar)
PT. SURYA ARTHA CHANYA,"Jl. MT. Haryono Kav. 33, Cikoko, Pancoran, Jakarta Selatan 12770","(021) 7985894, (021) 7985895",,,Pertamina,SPBU,34-12113,,JS/220/2008/II/P,Jakarta Selatan,"Jl. Pangeran Antasari No. 10B, Cipete Utara, Kebayoran Baru, Jakarta Selatan 12150",Cipete Utara,Kebayoran Baru,35/2011,15/03/2011,15/03/2016,Perpanjangan
PT. SINAR PEDOMAN ABADI,"Jl. Abdul Muis No. 46, Petojo Selatan, Gambir, Jakarta Pusat 10160","(021) 3861010, (021) 3861034",,,Pertamina,SPBU,34-12114,,JS/223/2008/II,Jakarta Selatan,"Jl. Gandaria I No. 27-28, Kramat Pela, Kebayoran Baru, Jakarta Selatan 12130",Kramat Pela,Kebayoran Baru,544/2008,13/08/2008,13/08/2013,Expired
PT. NUSA DUA NATURA,"Jl. Pos Pengumben RT006/RW03, Srengseng, Kembangan, Jakarta Barat 11630","(021) 58903267, (021) 58903268",,,Pertamina,SPBU,34-12115,,JS/308/2011/II,Jakarta Selatan,"Jl. Radio Dalam Raya No. 123 RT003/RW01, Gandaria Utara, Kebayoran Baru, Jakarta Selatan 12140",Gandaria Utara,Kebayoran Baru,102/2011,22/07/2011,22/07/2016,Baru
NY. HJ. MASNAH,,,,,Pertamina,SPBU,34-12202,,,Jakarta Selatan,"Jl. Raya Ciledug, Jakarta Selatan ",,,,,,Tidak Beroperasi
PT. CITRA TANJUNG MANDIRI (Ex. Leonova Marlius),"Jl. Kemandoran V No. 23 RT004/RW03, Grogol Utara, Kebayoran Lama, Jakarta Selatan 12210",(021) 8657283,,,Pertamina,SPBU,34-12203,,JS/118/2008/II/P,Jakarta Selatan,"Jl. Kemandoran V No. 23 RT004/RW03, Grogol Utara, Kebayoran Lama, Jakarta Selatan 12210",Grogol Utara,Kebayoran Lama,161/2009,9/12/2009,9/12/2014,Perpanjangan
PT. BAHTERA NUR SEJAHTERA,"Jl. Kebayoran Lama No. 61 Cidodol, Grogol Selatan, Kebayoran Lama, Jakarta Selatan 12220","(021) 7226962, (021) 7223008",,,Pertamina,SPBU,34-12204,,JS/148/2008/II/P,Jakarta Selatan,"Jl. Kebayoran Lama No. 61 Cidodol, Grogol Selatan, Kebayoran Lama, Jakarta Selatan 12220",Grogol Selatan,Kebayoran Lama,47/2010,23/04/2010,23/04/2015,Perpanjangan
PT. OKTANINDO PRIMA (Ex. Ny. Rumbi Tampubolon),"Jl. Palmerah Barat No. 37, Jakarta Selatan",(021) 5481732,31.598.975.6-013.000,Panca BC Tampubolon,Pertamina,SPBU,34-12205,,BS/366/2014/II,Jakarta Selatan,"Jl. Palmerah Barat No. 37, Grogol Utara, Kebayoran Lama, Jakarta Selatan 12210",Grogol Utara,Kebayoran Lama,110/2014,17/09/2014,,PTH/Selama Msh Beroperasi
SABRAWI ISTANTO,,,,,Pertamina,SPBU,34-12206,,,Jakarta Selatan,"Jl. Ciputat Raya, Pondok Pinang, Jakarta Selatan ",Pondok Pinang,Pondok Pinang,,,,Belum Urus Izin
PT. SUGIMAS CITRA,"Jl. Ciputat Raya - Tanah Kusir, Kebayoran Lama Utara, Kebayoran Lama, Jakarta Selatan 12240","(021) 7294949, (021) 7290506",,,Pertamina,SPBU,34-12208,,JS/190/2008/II/P,Jakarta Selatan,"Jl. Ciputat Raya No. 20 Tanah Kusir, Kebayoran Lama Utara, Kebayoran Lama, Jakarta Selatan 12240",Kebayoran Lama Utara,Kebayoran Lama,120/2010,5/10/2010,5/10/2015,Perpanjangan
BENNY SOERIANTO,"Taman Alfa Indah A13 No. 11 RT003/RW07, Kembangan, Jakarta Barat",(021) 7353336,,,Pertamina,SPBU,34-12209,,JS/203/2008/II/P,Jakarta Selatan,"Jl. Ciledug Raya, Petukangan Selatan, Pesanggrahan, Jakarta Selatan 12270",Petukangan Selatan,Pesanggrahan,362/2008,4/06/2008,4/06/2009,Expired
PT. ENERGI PRIMA NUSANTARA,"Jl. Jend. Gatot Subroto Kav. 18, Kuningan Timur, Setiabudi, Jakarta Selatan 12950","(021) 5267666, (021) 5224922",,,Pertamina,SPBU,34-12210,,JS/254/2009/II/P,Jakarta Selatan,"Jl. Sultan Iskandar Muda (Arteri Pondok Indah), Grogol Utara, Kebayoran Lama, Jakarta Selatan 12210",Grogol Utara,Kebayoran Lama,69/2009,16/06/2009,16/06/2014,Perpanjangan (3 Bulan Lagi Expired)
PT. BERSAUDARA,"Jl. Penjernihan I No. 38, Bendungan Hilir, Tanah Abang, Jakarta Pusat 10210",,,,Pertamina,SPBU,34-12211,,JS/013/2006/II,Jakarta Selatan,"Jl. Tentara Pelajar, Grogol Utara, Kebayoran Lama, Jakarta Selatan ",Grogol Utara,Kebayoran Lama,Dec-06,3/10/2006,3/10/2011,Tidak Beroperasi
CV. VIRGO SARANA PRAKARSA (Ex. PT. Cahaya Tiga Bersaudara),"Jl. Pemuda Kav.3-4, Rawamangun, Pulogadung, Jakarta Timur 13220","(021) 4897333, (021) 4703363",,Drs. H. Eko Wuryanto,Pertamina,SPBU,34-12212,,JS/042/2007/II,Jakarta Selatan,"Jl. M. Saidi Raya No. 108, Petukangan Selatan, Pesanggrahan, Jakarta Selatan 12270",Petukangan Selatan,Pesanggrahan,44/2013,10/05/2013,,PJ/Selama Masih Beroperasi
PT. MEGA SURYA ANGKASA,"Jl. Ciputat Raya Blok D/3 RT004/RW010 No. 41, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240",(021) 7245024,,,Pertamina,SPBU,34-12213,2009,JS/264/2009/II,Jakarta Selatan,"Jl. Ciputat Raya Blok D/3 RT004/RW010 No. 41, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240",Kebayoran Lama Selatan,Kebayoran Lama,148/2009,24/11/2009,24/11/2014,Baru
