nama_pemilik_perusahaan,alamat_pemilik_perusahaan,telepon,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,alamat_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan
PT. SAMARU INTI USAHA,"Jl. Kimia No. 10A RT010/RW01, Pegangsaan, Menteng, Jakarta Pusat 10320",(021) 3916930,,H. Mohamad Rizki Pratama,Pertamina,SPBU,34-14304,,JU/327/2012/II,Jakarta Utara,"Jl. Tongkol No. 7 RT004/RW08, Tanjung Priok, Tanjung Priok, Jakarta Utara 14310",Tanjung Priok,Tanjung Priok,23/2012,22/03/2012,,BR/Selama Masih Beroperasi
PT. TRI BHAKTI SINAR SENTOSA (Ex. H. Alijas),"Jl. Sunter Kemayoran No. 45A RT001/RW009, Sunter Jaya, Tanjung Priok, Jakarta Utara",(021) 6517055,03.191.124.1-048.000,Marcel Damiano Perangin Angin,Pertamina,SPBU,34-14305,,JU/360/2014/II,Jakarta Utara,"Jl. Sunter Kemayoran No. 45A RT001/RW009, Sunter Jaya, Tanjung Priok, Jakarta Utara 14350",Sunter Jaya,Tanjung Priok,Sep-14,20/02/2014,,PJ/Selama Masih Beroperasi
PT. FAJAR SETIA MANDIRI,"Ruko Cempaka Mas Blok K-35 Jl. Letjend. Soeprapto, Cempaka Baru, Kemayoran, Jakarta Pusat 10640","(021) 42884730, (021) 42889425",,,Pertamina,SPBU,34-14306,,JU/069/2008/II/P,Jakarta Utara,"Jl. Danau Sunter Selatan, Sunter Jaya, Tanjung Priok, Jakarta Utara 14350",Sunter Jaya,Tanjung Priok,110/2011,15/08/2011,15/08/2016,Perpanjangan
PT. SUMBER INDOKEMJAYA,"Jl. Danau Sunter Selatan Komp. Royal Sunter Blok A5/6, Sunter Jaya, Tanjung Priok, Jakarta Utara 14350","(021) 98295308, (021) 6522927",,,Pertamina,SPBU,34-14307,,JU/075/2008/II/P,Jakarta Utara,"Jl. Danau Sunter Selatan Blok O5/RW10, Sunter Jaya, Tanjung Priok, Jakarta Utara 14350",Sunter Jaya,Tanjung Priok,106/2010,6/09/2010,6/09/2015,Perpanjangan
PT. SINAR PEDOMAN ABADI,"Jl. Abdul Muis No. 46, Petojo Selatan, Gambir, Jakarta Pusat 10160","(021) 3861010, (021) 3861034",,,Pertamina,SPBU,34-14308,,JU/088/2008/II/P,Jakarta Utara,"Jl. Enggano No. 14 dan 16, Tanjung Priok, Tanjung Priok, Jakarta Utara 14310",Tanjung Priok,Tanjung Priok,103/2010,27/08/2010,27/08/2015,Perpanjangan
PT. AMANAH PUTRA HARUN,Jl.Wahid Hasyim No.48 B Jakarta 10430,,,,Pertamina,SPBU,34-14309,,,Jakarta Utara,"Areal Parkir Depot Plumpang, Jakarta Utara  ",,,,,,Belum Urus Izin
PT. JASA PATRA UTAMA,"Jl. Jend. Sudirman Kav. 7-8, Jakarta Pusat",(021) 5704895,,,Pertamina,SPBU,34-14310,,JU/116/2008/II,Jakarta Utara,"Jl. Gaya Motor No. 13, Sungai Bambu, Tanjung Priok, Jakarta Utara 14330",Sungai Bambu,Tanjung Priok,244/2008,21/04/2008,21/04/2013,Expired (Berkas Proses)
PT. SGS SATU LAGI,"Jl. Yos Sudarso Kav. 36, Jakarta Utara",(021) 43933681,,,Pertamina,SPBU,34-14311,,JU/125/2008/II,Jakarta Utara,"Jl. Yos Sudarso No. 36, Kebon Bawang , Tanjung Priok, Jakarta Utara 14320",Kebon Bawang,Tanjung Priok,193/2008,4/04/2008,4/04/2013,Tidak Beroperasi
PUAN MAHARANI,"Jl. Kebagusan IV No. 45 RT010/RW04, Kebagusan, Pasar Minggu, Jakarta Selatan 12520","(021) 8303744, (021) 6604372",,,Pertamina,SPBU,34-14401,,JU/215/2008/II/P,Jakarta Utara,"Jl. Pluit Selatan Raya RT004/RW08, Penjaringan, Penjaringan, Jakarta Utara 14430",Penjaringan,Penjaringan,112/2009,18/08/2009,18/08/2010,Expired
PT. SEABREEZ INDONESIA,"Jl. Karang Bolong Raya 12 Blok 30-31, Ancol Barat, Jakarta Utara","(021) 6928456, (021) 6471211",,,Pertamina,SPBU,34-14402,,,Jakarta Utara,"Jl. Lodan Raya No. 103 Marina Jaya Ancol, Ancol Barat, Pademangan, Jakarta Utara  ",Ancol Barat,Pademangan,,,,Belum Urus Izin (Berkas Proses)
